FID,Id,dem,dist
907,0,4.380000114,453.5
908,0,4.380000114,454
909,0,4.380000114,454.5
910,0,4.429999828,455
911,0,4.429999828,455.5
912,0,4.429999828,456
913,0,4.429999828,456.5
914,0,4.489999771,457
915,0,4.489999771,457.5
916,0,4.489999771,458
917,0,4.550000191,458.5
918,0,4.599999905,459
919,0,4.599999905,459.5
920,0,4.599999905,460
921,0,4.599999905,460.5
922,0,4.639999866,461
923,0,4.639999866,461.5
924,0,4.639999866,462
925,0,4.639999866,462.5
926,0,4.639999866,463
927,0,4.630000114,463.5
928,0,4.630000114,464
929,0,4.630000114,464.5
930,0,4.630000114,465
931,0,4.639999866,465.5
932,0,4.639999866,466
933,0,4.639999866,466.5
934,0,4.639999866,467
935,0,4.610000134,467.5
936,0,4.610000134,468
937,0,4.610000134,468.5
938,0,4.610000134,469
939,0,4.679999828,469.5
940,0,4.679999828,470
941,0,4.679999828,470.5
942,0,4.679999828,471
943,0,4.690000057,471.5
944,0,4.690000057,472
945,0,4.690000057,472.5
946,0,4.690000057,473
947,0,4.710000038,473.5
948,0,4.710000038,474
949,0,4.710000038,474.5
950,0,4.710000038,475
951,0,4.739999771,475.5
952,0,4.739999771,476
953,0,4.739999771,476.5
954,0,4.690000057,477
955,0,4.699999809,477.5
956,0,4.699999809,478
957,0,4.699999809,478.5
958,0,4.699999809,479
959,0,4.769999981,479.5
960,0,4.769999981,480
961,0,4.769999981,480.5
962,0,4.769999981,481
963,0,4.78000021,481.5
964,0,4.78000021,482
965,0,4.78000021,482.5
966,0,4.78000021,483
967,0,4.840000153,483.5
968,0,4.840000153,484
969,0,4.840000153,484.5
970,0,4.840000153,485
971,0,4.840000153,485.5
972,0,4.840000153,486
973,0,4.840000153,486.5
974,0,4.840000153,487
975,0,4.840000153,487.5
976,0,4.869999886,488
977,0,4.869999886,488.5
978,0,4.869999886,489
979,0,4.869999886,489.5
980,0,4.900000095,490
981,0,4.900000095,490.5
982,0,4.900000095,491
983,0,4.900000095,491.5
984,0,4.940000057,492
985,0,4.940000057,492.5
986,0,4.940000057,493
987,0,4.940000057,493.5
988,0,4.96999979,494
989,0,4.96999979,494.5
990,0,4.96999979,495
991,0,5.019999981,495.5
992,0,5,496
993,0,5,496.5
994,0,5,497
995,0,5,497.5
996,0,5.010000229,498
997,0,5.010000229,498.5
998,0,5.010000229,499
999,0,5.010000229,499.5
1000,0,5.03000021,500
1001,0,5.03000021,500.5
1002,0,5.03000021,501
1003,0,5.03000021,501.5
1004,0,5.039999962,502
1005,0,5.039999962,502.5
1006,0,5.039999962,503
1007,0,5.039999962,503.5
1008,0,5.050000191,504
1009,0,5.050000191,504.5
1010,0,5.059999943,505
1011,0,5.059999943,505.5
1012,0,5.059999943,506
1013,0,5.090000153,506.5
1014,0,5.090000153,507
1015,0,5.090000153,507.5
1016,0,5.090000153,508
1017,0,5.099999905,508.5
1018,0,5.099999905,509
1019,0,5.099999905,509.5
1020,0,5.099999905,510
1021,0,5.099999905,510.5
1022,0,5.099999905,511
1023,0,5.099999905,511.5
1024,0,5.099999905,512
1025,0,5.110000134,512.5
1026,0,5.110000134,513
1027,0,5.110000134,513.5
1028,0,5.130000114,514
1029,0,5.119999886,514.5
1030,0,5.119999886,515
1031,0,5.119999886,515.5
1032,0,5.119999886,516
1033,0,5.110000134,516.5
1034,0,5.110000134,517
1035,0,5.110000134,517.5
1036,0,5.110000134,518
1037,0,5.119999886,518.5
1038,0,5.119999886,519
1039,0,5.119999886,519.5
1040,0,5.119999886,520
1041,0,5.130000114,520.5
1042,0,5.130000114,521
1043,0,5.130000114,521.5
1044,0,5.130000114,522
1045,0,5.110000134,522.5
1046,0,5.110000134,523
1047,0,5.070000172,523.5
1048,0,5.070000172,524
1049,0,5.019999981,524.5
1050,0,5.019999981,525
1051,0,5.019999981,525.5
1052,0,5.019999981,526
1053,0,4.96999979,526.5
1054,0,4.96999979,527
1055,0,4.96999979,527.5
1056,0,4.96999979,528
1057,0,4.96999979,528.5
1058,0,4.900000095,529
1059,0,4.900000095,529.5
1060,0,4.900000095,530
1061,0,4.900000095,530.5
1062,0,4.829999924,531
1063,0,4.829999924,531.5
1064,0,4.829999924,532
1065,0,4.789999962,532.5
1066,0,4.730000019,533
1067,0,4.730000019,533.5
1068,0,4.730000019,534
1069,0,4.730000019,534.5
1070,0,4.670000076,535
1071,0,4.670000076,535.5
1072,0,4.670000076,536
1073,0,4.670000076,536.5
1074,0,4.579999924,537
1075,0,4.579999924,537.5
1076,0,4.579999924,538
